0x0 	__le32 	bg_block_bitmap_lo 	Lower 32-bits of location of block bitmap.
0x4 	__le32 	bg_inode_bitmap_lo 	Lower 32-bits of location of inode bitmap.
0x8 	__le32 	bg_inode_table_lo 	Lower 32-bits of location of inode table.
0xC 	__le16 	bg_free_blocks_count_lo 	Lower 16-bits of free block count.
0xE 	__le16 	bg_free_inodes_count_lo 	Lower 16-bits of free inode count.
0x10 	__le16 	bg_used_dirs_count_lo 	Lower 16-bits of directory count.
0x12 	__le16 	bg_flags 	Block group flags. See the bgflags table below.
0x14 	__le32 	bg_exclude_bitmap_lo 	Lower 32-bits of location of snapshot exclusion bitmap.
0x18 	__le16 	bg_block_bitmap_csum_lo 	Lower 16-bits of the block bitmap checksum.
0x1A 	__le16 	bg_inode_bitmap_csum_lo 	Lower 16-bits of the inode bitmap checksum.
0x1C 	__le16 	bg_itable_unused_lo 	Lower 16-bits of unused inode count. If set, we needn’t scan past the (sb.s_inodes_per_group - gdt.bg_itable_unused)th entry in the inode table for this group.
0x1E 	__le16 	bg_checksum 	Group descriptor checksum; crc16(sb_uuid+group_num+bg_desc) if the RO_COMPAT_GDT_CSUM feature is set, or crc32c(sb_uuid+group_num+bg_desc) & 0xFFFF if the RO_COMPAT_METADATA_CSUM feature is set. The bg_checksum field in bg_desc is skipped when calculating crc16 checksum, and set to zero if crc32c checksum is used.
  	  	  	These fields only exist if the 64bit feature is enabled and s_desc_size > 32.
0x20 	__le32 	bg_block_bitmap_hi 	Upper 32-bits of location of block bitmap.
0x24 	__le32 	bg_inode_bitmap_hi 	Upper 32-bits of location of inodes bitmap.
0x28 	__le32 	bg_inode_table_hi 	Upper 32-bits of location of inodes table.
0x2C 	__le16 	bg_free_blocks_count_hi 	Upper 16-bits of free block count.
0x2E 	__le16 	bg_free_inodes_count_hi 	Upper 16-bits of free inode count.
0x30 	__le16 	bg_used_dirs_count_hi 	Upper 16-bits of directory count.
0x32 	__le16 	bg_itable_unused_hi 	Upper 16-bits of unused inode count.
0x34 	__le32 	bg_exclude_bitmap_hi 	Upper 32-bits of location of snapshot exclusion bitmap.
0x38 	__le16 	bg_block_bitmap_csum_hi 	Upper 16-bits of the block bitmap checksum.
0x3A 	__le16 	bg_inode_bitmap_csum_hi 	Upper 16-bits of the inode bitmap checksum.
0x3C 	__u32 	bg_reserved 	Padding to 64 bytes.
