0x0 	__le32 	s_inodes_count 	Total inode count.
0x4 	__le32 	s_blocks_count_lo 	Total block count.
0x8 	__le32 	s_r_blocks_count_lo 	This number of blocks can only be allocated by the super-user.
0xC 	__le32 	s_free_blocks_count_lo 	Free block count.
0x10 	__le32 	s_free_inodes_count 	Free inode count.
0x14 	__le32 	s_first_data_block 	First data block. This must be at least 1 for 1k-block filesystems and is typically 0 for all other block sizes.
0x18 	__le32 	s_log_block_size 	Block size is 2 ^ (10 + s_log_block_size).
0x1C 	__le32 	s_log_cluster_size 	Cluster size is 2 ^ (10 + s_log_cluster_size) blocks if bigalloc is enabled. Otherwise s_log_cluster_size must equal s_log_block_size.
0x20 	__le32 	s_blocks_per_group 	Blocks per group.
0x24 	__le32 	s_clusters_per_group 	Clusters per group, if bigalloc is enabled. Otherwise s_clusters_per_group must equal s_blocks_per_group.
0x28 	__le32 	s_inodes_per_group 	Inodes per group.
0x2C 	__le32 	s_mtime 	Mount time, in seconds since the epoch.
0x30 	__le32 	s_wtime 	Write time, in seconds since the epoch.
0x34 	__le16 	s_mnt_count 	Number of mounts since the last fsck.
0x36 	__le16 	s_max_mnt_count 	Number of mounts beyond which a fsck is needed.
0x38 	__le16 	s_magic 	Magic signature, 0xEF53
0x3A 	__le16 	s_state 	File system state. See super_state for more info.
0x3C 	__le16 	s_errors 	Behaviour when detecting errors. See super_errors for more info.
0x3E 	__le16 	s_minor_rev_level 	Minor revision level.
0x40 	__le32 	s_lastcheck 	Time of last check, in seconds since the epoch.
0x44 	__le32 	s_checkinterval 	Maximum time between checks, in seconds.
0x48 	__le32 	s_creator_os 	Creator OS. See the table super_creator for more info.
0x4C 	__le32 	s_rev_level 	Revision level. See the table super_revision for more info.
0x50 	__le16 	s_def_resuid 	Default uid for reserved blocks.
0x52 	__le16 	s_def_resgid 	Default gid for reserved blocks.
  	  	  	

These fields are for EXT4_DYNAMIC_REV superblocks only.

Note: the difference between the compatible feature set and the incompatible feature set is that if there is a bit set in the incompatible feature set that the kernel doesn’t know about, it should refuse to mount the filesystem.

